layers,neurons,lr,batch_size,epoch,dropout_rate,loss,accuracy,precision,recall,auc_pr,auc_roc
2,8,0.01,128,40,0.1,0.029017623513936996,0.9934210777282715,0.991239070892334,1.0,0.9984307885169983,0.997477114200592
2,8,0.01,128,50,0.2,0.025027824565768242,0.9953007698059082,0.9937264919281006,1.0,0.999417245388031,0.9984171986579895
2,8,0.01,32,40,0.3,0.037770844995975494,0.9877819418907166,0.9838509559631348,1.0,0.9982740879058838,0.9971174001693726
2,8,0.01,32,50,0.1,0.031111326068639755,0.99154132604599,0.9887640476226807,1.0,0.9972163438796997,0.9958222508430481
2,8,0.01,32,50,0.2,0.030824726447463036,0.99154132604599,0.9887640476226807,1.0,0.9984287023544312,0.9974446296691895
2,8,0.01,32,50,0.3,0.03485431522130966,0.9906014800071716,0.9875311851501465,1.0,0.995708167552948,0.9936776757240295
2,8,0.01,64,30,0.2,0.027498779818415642,0.9934210777282715,0.991239070892334,1.0,0.9982810020446777,0.9971497654914856
2,8,0.01,64,30,0.3,0.027797501534223557,0.9924812316894531,0.9900000095367432,1.0,0.9984796047210693,0.9975977540016174
2,8,0.01,64,40,0.2,0.03011920489370823,0.9934210777282715,0.991239070892334,1.0,0.9982563853263855,0.9970732927322388
2,8,0.01,64,40,0.3,0.02910068817436695,0.9943609237670898,0.9924812316894531,1.0,0.9972513914108276,0.9959360361099243
2,8,0.01,64,50,0.1,0.02995544672012329,0.9953007698059082,0.9937264919281006,1.0,0.9955821633338928,0.9935615658760071
2,8,0.01,64,50,0.3,0.03601367771625519,0.9906014800071716,0.9875311851501465,1.0,0.9957425594329834,0.9937519431114197
2,10,0.01,128,20,0.1,0.03147483617067337,0.99154132604599,0.9887640476226807,1.0,0.9970436096191406,0.9955368041992188
2,10,0.01,128,20,0.2,0.03220831975340843,0.9924812316894531,0.9900000095367432,1.0,0.9958459734916687,0.9939351677894592
2,10,0.01,128,30,0.1,0.02378741092979908,0.9953007698059082,0.9937264919281006,1.0,0.99700927734375,0.9954787492752075
2,10,0.01,128,30,0.2,0.030236879363656044,0.9943609237670898,0.9924812316894531,1.0,0.9958373308181763,0.9938934445381165
2,10,0.01,128,40,0.1,0.025766562670469284,0.9943609237670898,0.9924812316894531,1.0,0.9969432950019836,0.9954509139060974
2,10,0.01,128,40,0.2,0.03195485845208168,0.9934210777282715,0.991239070892334,1.0,0.9970623254776001,0.9955507516860962
2,10,0.01,128,40,0.3,0.028898121789097786,0.9934210777282715,0.991239070892334,1.0,0.9972556829452515,0.9958779215812683
2,10,0.01,128,50,0.2,0.033601511269807816,0.9924812316894531,0.9900000095367432,1.0,0.9971686601638794,0.9958105087280273
2,10,0.01,128,50,0.3,0.026167983189225197,0.9934210777282715,0.991239070892334,1.0,0.9970942139625549,0.9957432746887207
2,10,0.01,32,20,0.1,0.029303142800927162,0.9943609237670898,0.9924812316894531,1.0,0.9972490668296814,0.9959243535995483
2,10,0.01,32,20,0.3,0.028988435864448547,0.99154132604599,0.9887640476226807,1.0,0.9970552325248718,0.9956783056259155
2,10,0.01,32,30,0.3,0.03730500862002373,0.9943609237670898,0.9924812316894531,1.0,0.9959682822227478,0.9940605163574219
2,10,0.01,32,40,0.1,0.031228624284267426,0.9924812316894531,0.9900000095367432,1.0,0.9973593354225159,0.9960728883743286
2,10,0.01,32,40,0.2,0.03252742812037468,0.9924812316894531,0.9900000095367432,1.0,0.9983630776405334,0.9972983002662659
2,10,0.01,32,50,0.2,0.028603382408618927,0.9934210777282715,0.991239070892334,1.0,0.996972918510437,0.9954206943511963
2,10,0.01,32,50,0.3,0.02826892025768757,0.9924812316894531,0.9900000095367432,1.0,0.996911346912384,0.9953093528747559
2,10,0.01,64,30,0.3,0.03563603013753891,0.9924812316894531,0.9900000095367432,1.0,0.9960079193115234,0.9941372275352478
2,10,0.01,64,40,0.3,0.03561723604798317,0.99154132604599,0.9887640476226807,1.0,0.9972541928291321,0.9959336519241333
2,10,0.01,64,50,0.1,0.023629548028111458,0.9934210777282715,0.991239070892334,1.0,0.9985288977622986,0.9977834820747375
2,10,0.01,64,50,0.2,0.02667463943362236,0.9924812316894531,0.9900000095367432,1.0,0.9972148537635803,0.9958779811859131
2,10,0.01,64,50,0.3,0.0321231372654438,0.9943609237670898,0.9924812316894531,1.0,0.997122585773468,0.9957176446914673
2,10,0.001,32,40,0.2,0.035468894988298416,0.9924812316894531,0.9900000095367432,1.0,0.9956910610198975,0.993689239025116
2,10,0.001,32,50,0.3,0.03462594747543335,0.9924812316894531,0.9900000095367432,1.0,0.9971783757209778,0.9957990050315857
2,16,0.01,128,20,0.1,0.033942751586437225,0.9924812316894531,0.9900000095367432,1.0,0.9970680475234985,0.9955552816390991
2,16,0.01,128,20,0.2,0.03234162926673889,0.9943609237670898,0.9924812316894531,1.0,0.9958018064498901,0.9937844276428223
